FBD_tiplabel,renameSequencingData,Name.v3,nicheRecon,genus,gen_sect.abb
CTcrenata_F081_WC09_0,CTcrenata_F081_WC09,Castanea_crenata,Y,Castanea,CT
CTdentata_F039_WB12_0,CTdentata_F039_WB12,Castanea_dentata,Y,Castanea,CT
CThenryi_F080_WD01_0,CThenryi_F080_WD01,Castanea_henryi,Y,Castanea,CT
CTmollissima_SRR10199566_A_0,CTmollissima_SRR10199566_A,Castanea_mollissima,Y,Castanea,CT
CTozarkensis_F098_WA05_0,CTozarkensis_F098_WA05,Castanea_ozarkensis,Y,Castanea,CT
CTpumila_U02_WE11_0,CTpumila_U02_WE11,Castanea_pumila,Y,Castanea,CT
CTsativa_F102_WA11_0,CTsativa_F102_WA11,Castanea_sativa,Y,Castanea,CT
CTseguinii_F080_WD07_0,CTseguinii_F080_WD07,Castanea_seguinii,Y,Castanea,CT
CPannamensis_F097_WG03_0,CPannamensis_F097_WG03,Castanopsis_annamensis,Y,Castanopsis,CP
CPargentea_F097_WG05_0,CPargentea_F097_WG05,Castanopsis_argentea,Y,Castanopsis,CP
CPborneensis_F115_WH01_0,CPborneensis_F115_WH01,Castanopsis_borneensis,Y,Castanopsis,CP
CPcalathiformis_F080_WF09_0,CPcalathiformis_F080_WF09,Castanopsis_calathiformis,Y,Castanopsis,CP
CPcambodiana_F116_WG09_0,CPcambodiana_F116_WG09,Castanopsis_cambodiana,Y,Castanopsis,CP
CPcarlesii_F080_WF07_0,CPcarlesii_F080_WF07,Castanopsis_carlesii,Y,Castanopsis,CP
CPceratacantha_F081_WE11_0,CPceratacantha_F081_WE11,Castanopsis_ceratacantha,Y,Castanopsis,CP
CPchinensis_F080_WF10_0,CPchinensis_F080_WF10,Castanopsis_chinensis,Y,Castanopsis,CP
CPchunii_F080_WF11_0,CPchunii_F080_WF11,Castanopsis_chunii,Y,Castanopsis,CP
CPcrassifolia_F116_WG12_0,CPcrassifolia_F116_WG12,Castanopsis_crassifolia,Y,Castanopsis,CP
CPcuspidata_F006_WA12_0,CPcuspidata_F006_WA12,Castanopsis_cuspidata,Y,Castanopsis,CP
CPdelavayi_F080_WE01_0,CPdelavayi_F080_WE01,Castanopsis_delavayi,Y,Castanopsis,CP
CPdongchoensis_F098_WB02_0,CPdongchoensis_F098_WB02,Castanopsis_dongchoensis,Y,Castanopsis,CP
CPechinocarpa_F080_WD11_0,CPechinocarpa_F080_WD11,Castanopsis_echinocarpa,Y,Castanopsis,CP
CPeyrei_F080_WE03_0,CPeyrei_F080_WE03,Castanopsis_eyrei,Y,Castanopsis,CP
CPfaberi_F080_WE02_0,CPfaberi_F080_WE02,Castanopsis_faberi,Y,Castanopsis,CP
CPfargesii_F080_WD12_0,CPfargesii_F080_WD12,Castanopsis_fargesii,Y,Castanopsis,CP
CPferox_F081_WF07_0,CPferox_F081_WF07,Castanopsis_ferox,Y,Castanopsis,CP
CPfissa_F080_WG01_0,CPfissa_F080_WG01,Castanopsis_fissa,Y,Castanopsis,CP
