ID,Genus,subgenus,Taxon/species,Stage_mean,Type,Latitude,Longitude
164,Castanea,,Castanea miomollissima Hu et Chaney,Rupelian,macrofossil,23.33333333,104.25
2733,Castanea,,Castanea sp.,Rupelian,macrofossil,25.14,101.44
2452,Castanea,,Castanea longifolia Borsuk,Lutetian,macrofossil,43.2,131.05
2374,Castanea,,Castanea miomollissima Hu et Chaney,Rupelian,macrofossil,45.6,137.36
2377,Castanea,,Castanea atavia Ung.,Rupelian,macrofossil,46.05,137.5
2378,Castanea,,Castanea miomollissima Hu et Chaney,Rupelian,macrofossil,46.05,137.5
1896,Castanea,,Castanea zaisanica Iljinskaya,Rupelian,macrofossil,48.16,84.13
2396,Castanea,,Castanea longifolia Borsuk,Priabonian,macrofossil,43.2,131.5
2397,Castanea,,Castanea sachalinensis Kodrul,Priabonian,macrofossil,43.2,131.5
2697,Castanea,,Castanea fujiyamae Tanai,Lutetian,macrofossil,42.99833333,126.8661111
2530,Castanea,,Castanea cf. miocrenata Tanai et Onoe,Ypresian,macrofossil,47.4,138.3
2298,Castanea,,Castanea fujiyamae Tanai,Rupelian,macrofossil,42.45,130.4
2299,Castanea,,Castanea miomollissima Hu et Chaney,Rupelian,macrofossil,42.45,130.4
1252,Castanea,,Castanea claibornensis Berry,Lutetian,macrofossil,42.158791,-73.481162
621,Castanea,,Castanea sachalinensis Kodrul,Priabonian,macrofossil,44.091395,131.978217
329,Castanea,,"Castanea gracilis Pavlyutkin, sp. nov.",Rupelian,macrofossil,42.75,130.6666667
2605,Castanea,,Castanea sp.,Lutetian,pollen,79.91666667,-88.96666667
2265,Castanea,,Castanea sp.,Chattian,pollen,43.2,131.4
2335,Castanea,,Castanea sp.,Rupelian,pollen,44.1,132.4
2445,Castanea,,Castanea sp.,Lutetian,pollen,43.2,131.05
2429,Castanea,,Castanea sp.,Priabonian,pollen,46.3,134.2
1912,Castanea,,Castanea type,Rupelian,pollen,40.22,25.95
1989,Castanea,,Castanea type,Chattian,pollen,40.35,26.59
2436,Castanea,,Castanea sp.,Bartonian,pollen,43.2,131.5
2480,Castanea,,Castanea sp.,Ypresian,pollen,43.2,132.3
2503,Castanea,,Castanea sp.,Ypresian,pollen,44.1,133.1
2488,Castanea,,Castanea sp.,Ypresian,pollen,43.3,134.1
1973,Castanea,,Castanea sativaeformis,Rupelian,pollen,63.96,58.6
1974,Castanea,,Castanea crenataeformis Samig.,Rupelian,pollen,63.96,58.6
1982,Castanea,,Castanea sp.,Rupelian,pollen,67.59,67.2
2390,Castanea,,Castanea sp.,Priabonian,pollen,43.2,131.5
1885,Castanea,,Castanea sp.,Rupelian,pollen,54.46,73.3
1936,Castanea,,Castanea sp.,Rupelian,pollen,54.46,73.3
2290,Castanea,,Castanea sp.,Rupelian,pollen,42.45,130.4
2355,Castanea,,Castanea sp.,Rupelian,pollen,44.15,135.3
2407,Castanea,,Castanea sp.,Priabonian,pollen,43.6,132.3
2512,Castanea,,Castanea sp.,Ypresian,pollen,45.1,133.4
2465,Castanea,,Castanea sp.,Lutetian,pollen,46.3,134.2
2521,Castanea,,Castanea sp.,Ypresian,pollen,46.3,134.2
2283,Castanea,,Castanea sp.,Chattian,pollen,46.3,134.2
2273,Castanea,,Castanea sp.,Chattian,pollen,44.05,132.05
2328,Castanea,,Castanea sp.,Rupelian,pollen,44.05,132.05
2495,Castanea,,Castanea sp.,Ypresian,pollen,44.1,132.4
2401,Castanea,,Castanea sp.,Priabonian,pollen,43.2,132.15
2473,Castanea,,Castanea sp.,Ypresian,pollen,43.2,131.5
2458,Castanea,,Castanea sp.,Lutetian,pollen,43.4,131.3
2279,Castanea,,Castanea sp.,Chattian,pollen,45.1,131.6
2414,Castanea,,Castanea sp.,Priabonian,pollen,44.05,132.05
2269,Castanea,,Castanea sp.,Chattian,pollen,43.3,131.5
1917,Castanea,,Castanea type,Chattian,pollen,39.95,27.63
2534,Castanea,,Castanea sp.,Thanetian,pollen,46.17,137.78
2113,Castanea,,Castanea,Lutetian,pollen,21.5,110.8
2122,Castanea,,Castanea,Lutetian,pollen,21.1,109.7
2124,Castanea,,Castanea,Priabonian,pollen,21.1,109.7
2032,Castanea,,Castanea,Lutetian,pollen,42.9,126.7
419,Castanea,,"Castaneoideae gen. et sp. indet., sp. 2, aff. Castanea",Priabonian,pollen,38.965589,-105.285327
637,Castanea,,Castanea sp.,Priabonian,pollen,42.65833333,130.7833333
605,Castanea,,Castanea sp.,Ypresian,pollen,72.33333333,128.5
288,Castanea,,Castanea sp.,Priabonian,pollen,21.70922222,110.8887222
282,Castanea,,Castanea sp.,Lutetian,pollen,21.70922222,110.8887222
300,Castanea,,Castanea sp.,Lutetian,pollen,21.87986111,110.6684167
599,Castanea,,Castanea crenataeformis Samig.,Ypresian,pollen,70.5,146
306,Castanea,,Castanea sp.,Rupelian,pollen,21.84422778,110.7785556
547,Castanea,,Castanea sp.,Lutetian,pollen,79.91666667,-88.96666667
486,Castanea,,Castaneoideae sp. 1 (aff. Castanea),Lutetian,pollen,43.306065,132.383889
626,Castanea,,Castanea sp.,Priabonian,pollen,44.091395,131.978217
615,Castanea,,Castanea sp.,Thanetian,pollen,44.675217,136.085413
619,Castanea,,Castanea sp.,Ypresian,pollen,46.597986,134.236485
27,Castanea,,Castanea sp. D1-29310,Rupelian,macrofossil,34.706276,135.073818
28,Castanea,,Castanea sp. D1-29095,Rupelian,macrofossil,34.646429,134.979532
6,Castanopsis,,Castanopsis crepetii sp. nov.,Ypresian,macrofossil,44.94333333,-120.4261111
1254,Castanopsis,,Castanopsis salinarum (Unger) Kirchh,Rupelian,macrofossil,50.21636,12.443
944,Castanopsis,,Castanopsis salinarum,Rupelian,macrofossil,50.21636,12.443
18,Castanopsis,,Castanopsis sp.,Lutetian,macrofossil,51.419669,9.867914
166,Castanopsis,,Castanopsis gracilidensata J. Huang et Z.K. Zhou sp. nov,Rupelian,macrofossil,23.33333333,104.25
167,Castanopsis,,Castanopsis horridum J. Huang et Z.K. Zhou sp. nov.,Rupelian,macrofossil,23.33333333,104.25
2734,Castanopsis,,Castanopsis sp.,Rupelian,macrofossil,25.14,101.44
272,Castanopsis,,"Castanopsis tibetensis H. Xu, T. Su et Z.K. Zhou sp. nov.",Priabonian,macrofossil,29.75277778,98.43277778
39,Castanopsis,,Castanopsis sp.,Lutetian,macrofossil,19.63416667,110.4511111
2343,Castanopsis,,Castanopsis kramshaninii Klim.,Rupelian,macrofossil,44.1,132.4
2379,Castanopsis,,Castanopsis sp.,Rupelian,macrofossil,46.05,137.5
2366,Castanopsis,,Castanopsis sp.,Rupelian,macrofossil,45.4,137.1
1954,Castanopsis,,Castanopsis toscana,Chattian,macrofossil,47.65,19.02
23,Castanopsis,,Castanopsis tanaii Hzioka et Takahasi,Priabonian,macrofossil,34.173865,131.496036
2621,Castanopsis,,Castanopsis (Pasaniopsis) trivialis,Lutetian,macrofossil,50.110422,12.574805
2622,Castanopsis,,"Castanopsis (Pasaniopsis) cf. retinervis,",Lutetian,macrofossil,50.110422,12.574805
2398,Castanopsis,,Castanopsis sp.,Priabonian,macrofossil,43.2,131.5
24,Castanopsis,,Castanopsis sp.,Priabonian,macrofossil,22.668853,111.902915
1799,Castanopsis,,Castanopsis sp. (wood),Rupelian,macrofossil,41.87,23.18
2300,Castanopsis,,Castanopsis sp.,Rupelian,macrofossil,42.45,130.4
484,Castanopsis,,Castanopsis timensis (Palib.) Iljinskaja,Priabonian,macrofossil,51.744199,36.190748
990,Castanopsis,,Castanopsis (Castanopsis) lemhiensis Axelrod,Rupelian,macrofossil,43.595709,-111.692769
982,Castanopsis,,Castanopsis changchangensis Liu et Jin,Lutetian,macrofossil,19.63416667,110.4511111
984,Castanopsis,,Castanopsis franklinensis Wolfe,Lutetian,macrofossil,48.644019,-118.753298
2093,Castanopsis,,Castanopsis tibetensis,Priabonian,macrofossil,29.75,98.42
