species	genusID	sectionID
CEafares_P005_WC11_A	Quercus	CE
CElibani_P004_WD10_A	Quercus	CE
CEcerris_trans_A	Quercus	CE
CEacutissima_F087_WB04_A	Quercus	CE
CEtrojana_P002_WF07_A	Quercus	CE
CEvariabilis_trans_A	Quercus	CE
CEcastaneifolia_P002_WC06_A	Quercus	CE
CEithaburensis_P002_WE12_A	Quercus	CE
CEsuber_F079_WC02_A	Quercus	CE
CHchrysophylla_trans	Chrysolepis	Chrysolepis
CHsempervirens_U03_WC08	Chrysolepis	Chrysolepis
CPnephelioides_F116_WH10	Castanopsis	Castanopsis
CPceratacantha_F081_WE11	Castanopsis	Castanopsis
CPtibetana_F098_WH08	Castanopsis	Castanopsis
CPpierrei_F098_WG11	Castanopsis	Castanopsis
CPannamensis_F097_WG03	Castanopsis	Castanopsis
CPlongipetiolata_F098_WG12	Castanopsis	Castanopsis
CPdelavayi_F080_WE01	Castanopsis	Castanopsis
CPchinensis_F080_WF10	Castanopsis	Castanopsis
CPchunii_F080_WF11	Castanopsis	Castanopsis
CPcuspidata_F006_WA12	Castanopsis	Castanopsis
CPfulva_F081_WF08	Castanopsis	Castanopsis
CPhystrix_F080_WG04	Castanopsis	Castanopsis
CPborneensis_F115_WH01	Castanopsis	Castanopsis
CPcarlesii_F080_WF07	Castanopsis	Castanopsis
CPjucunda_F081_WF09	Castanopsis	Castanopsis
CPmekongensis_F081_WF11	Castanopsis	Castanopsis
CPferox_F081_WF07	Castanopsis	Castanopsis
CPfissa_F080_WG01	Castanopsis	Castanopsis
CPfargesii_F080_WD12	Castanopsis	Castanopsis
CPechinocarpa_F080_WD11	Castanopsis	Castanopsis
CTsativa_F102_WA11	Castanea	Castanea
CThenryi_F080_WD01	Castanea	Castanea
CTmollissima_SRR10199566_A	Castanea	Castanea
CTozarkensis_F098_WA05	Castanea	Castanea
CTcrenata_F081_WC09	Castanea	Castanea
CTdentata_F039_WB12	Castanea	Castanea
CTseguinii_F080_WD07	Castanea	Castanea
CYgaharuensis_P008_WG02_A	Quercus	CY
CYasymmetrica_P014_WG01_A	Quercus	CY
CYchevalieri_P003_WE03_A	Quercus	CY
CYmerrillii_P005_WD01_A	Quercus	CY
CYpachyloma_P005_WG08_A	Quercus	CY
CYthomsoniana_P005_WB01_A	Quercus	CY
CYhelferiana_F118_WG08_A	Quercus	CY
CYhypargyrea_P010_WE06_ANP	Quercus	CY
CYkinabaluensis_P002_WF02_A	Quercus	CY
CYmyrsinifolia_F087_WB10_A	Quercus	CY
CYpentacycla_P001_WE11_A	Quercus	CY
ILlanata_P011_WB01_A	Quercus	CY
CYaugustinii_P010_WE11_A	Quercus	CY
CYciliaris_F039_WB10_SNP	Quercus	CY
CYlonginux_U03_WC07_A	Quercus	CY
CYstenophylloides_P008_WA02_A	Quercus	CY
CYmorii_P010_WB12_A	Quercus	CY
CYhondae_P005_WD07_A	Quercus	CY
CYaustrocochinchinensis_P001_WB05_A	Quercus	CY
CYmeihuashanensis_P001_WE09_SNU	Quercus	CY
ILbaronii_F086_WH02_A	Quercus	IL
ILfranchetii_F086_WF06_A	Quercus	IL
ILtarokoensis_F079_WA12_A	Quercus	IL
ILbaloot_P001_WD05_A	Quercus	IL
ILphillyreoides_F086_WG10_A	Quercus	IL
ILaquifolioides_F079_WB02_A	Quercus	IL
ILcoccifera_F082_WB12_A	Quercus	IL
ILdolicholepis_F086_WE12_A	Quercus	IL
ILkongshanensis_P001_WG09_SNP	Quercus	IL
ILsenescens_F079_WG06_A	Quercus	IL
ILspinosa_P011_WF10_A	Quercus	IL
ILacrodonta_P005_WD08_A	Quercus	IL
ILcocciferoides_F087_WB11_A	Quercus	IL
ILengleriana_F079_WC01_A	Quercus	IL
ILilex_P009_WD07_A	Quercus	IL
ILlongispica_P009_WC12_SNP	Quercus	IL
ILrotundifolia_P010_WB09_SNS	Quercus	IL
ILfimbriata_P019_WG03_HN	Quercus	IL
