species	genusID	sectionID
CEacutissima_trans_A	Quercus	CE
CEcastaneifolia_trans_A	Quercus	CE
CEcerris_trans_A	Quercus	CE
CElibani_trans_A	Quercus	CE
CEsuber_trans_A	Quercus	CE
CEtrojana_trans_A	Quercus	CE
CEvariabilis_trans_A	Quercus	CE
CHchrysophylla_trans	Chrysolepis	Chrysolepis
CPcalathiformis_trans	Castanopsis	Castanopsis
CPdelavayi_trans	Castanopsis	Castanopsis
CPorthacantha_trans	Castanopsis	Castanopsis
CTcrenata_ERR2040354_A	Castanea	Castanea
CThenryi_trans	Castanea	Castanea
CTmollissima_SRR10199566_A	Castanea	Castanea
CTpumila_trans	Castanea	Castanea
CTsativa_trans	Castanea	Castanea
CTseguinii_trans_A	Castanea	Castanea
CYaustrocochi_SRR2016707_A	Quercus	CY
CYglauca_HM_A	Quercus	CY
CYkerrii_SRR2017698_A	Quercus	CY
CYschottkyana_trans_A	Quercus	CY
CYsichourensis_trans_A	Quercus	CY
ILfranchetii_HM_A	Quercus	IL
ILilex_trans_A	Quercus	IL
LOacerifolia_trans_A	Quercus	LO
LOarkansana_trans_A	Quercus	LO
LObenthamii_trans_A	Quercus	LO
LOellipsoidalis_trans_A	Quercus	LO
LOfalcata_trans_A	Quercus	LO
LOimbricaria_trans_A	Quercus	LO
LOlobata_SRR10196237_A	Quercus	QU
LOmarilandica_trans_A	Quercus	LO
LOnigra_trans_A	Quercus	LO
LOpalustris_trans_A	Quercus	LO
LOphellos_trans_A	Quercus	LO
LOrubra_SRR1778919_A	Quercus	LO
LOshumardii_trans_A	Quercus	LO
LOvelutina_trans_A	Quercus	LO
LPcorneus_trans_A	Lithocarpus	Lithocarpus
LPdealbatus_trans_A	Lithocarpus	Lithocarpus
LPechinophorus_trans_A	Lithocarpus	Lithocarpus
LPglaber_trans_A	Lithocarpus	Lithocarpus
LPhancei_trans_A	Lithocarpus	Lithocarpus
LPhenryi_HM_A	Lithocarpus	Lithocarpus
LPmairei_trans_A	Lithocarpus	Lithocarpus
LPpolystachyus_SRR10238508_A	Lithocarpus	Lithocarpus
NLdensiflorus_trans	Notholithocarpus	Notholithocarpus
NNmichauxii_trans_A	Quercus	QU
PRcedrosensis_trans_A	Quercus	PR
PRchrysolepis_trans_A	Quercus	PR
PRpalmeri_trans_A	Quercus	PR
QUalba_trans_A	Quercus	QU
QUaliena_trans_A	Quercus	QU
QUbicolor_trans_A	Quercus	QU
QUboyntonii_trans_A	Quercus	QU
QUdentata_trans_A	Quercus	QU
QUdumosa_trans_A	Quercus	QU
QUfrainetto_trans_A	Quercus	QU
QUgarryana_trans_A	Quercus	QU
QUgreggii_trans_A	Quercus	QU
QUinfectoria_trans_A	Quercus	QU
QUlyrata_trans_A	Quercus	QU
QUmacrocarpa_trans_A	Quercus	QU
QUmongolica_SRR13594255_A	Quercus	QU
QUmontana_trans_A	Quercus	QU
QUmuehlenbergii_trans_A	Quercus	QU
QUpetraea_trans_A	Quercus	QU
QUprinoides_trans_A	Quercus	QU
QUpubescens_SRR9937075_A	Quercus	QU
QUrobur_ERR3348506_A	Quercus	QU
QUserrata_trans_A	Quercus	QU
QUstellata_trans_A	Quercus	QU
QUwutaishanica_SRR8499370_A	Quercus	QU
VIvirginiana_trans_A	Quercus	VI
