489	7 (T S C E N M A)
*Fagus_altaensis	0010000
*Quercus_alexeevii	0010000
*Quercus_drymeja	0010000
*Quercus_paleoserrata	0010000
*Castanea_fujiyamae	1000000
*Castanopsis_tanaii	1000000
*Fagopsis_primorica	1000000
*Fagus_kitamiensis	1000000
*Fagus_napanensis	1000000
*Lithocarpus_matsumotoi	1000000
*Quercus_cf._praemongolica	1000000
*Quercus_cf._presenescens	1000000
*Quercus_gracilis	1000000
*Quercus_koraika	1000000
*Quercus_lanpingensis	1000000
*Quercus_mutilatifolia	1000000
*Quercus_naitoi	1000000
*Quercus_nanningensis	1000000
*Quercus_pseudolyrata	1000000
*Quercus_sp._Jilin	1000000
*Quercus_tibetensis	1000000
*Quercus_ussuriensis	1000000
*Castanopsis_elisabethae	0001000
*Castanopsis_pliovariabilis	0001000
*Castanopsis_salinarum	0001000
*Fagus_attenuata	0001000
*Fagus_castaneifolia	0001000
*Fagus_saxonica	0001000
*Lithocarpus_timensis	0001000
*Quercus_abchasica	0001000
*Quercus_aff._acrodonta	0001000
*Quercus_aimeeana	0001000
*Quercus_brachyandra	0001000
*Quercus_cardanii	0001000
*Quercus_cerverensis	0001000
*Quercus_cf._pliovariabilis	0001000
*Quercus_lyellii	0001000
*Quercus_mediterranea	0001000
*Quercus_neriifolia	0001000
*Quercus_subhercynica	0001000
*Trigonobalanoid_sp._Samland	0001000
*Trigonobalanus_succinea	0001000
*Antiquacupula_sulcata	0000100
*Castaneoidea_puryearensis	0000100
*Castanopsis_crepetii	0000100
*Castanopsoidea_columbiana	0000100
*Chrysolepis_chrysophylloides	0000100
*Eotrigonobalanus	0000100
*Fagopsis_longifolia	0000100
*Fagus_langevinii	0000100
*Fagus_pacifica	0000100
*Lithocarpus_sp._Colorado	0000100
*Notholithocarpus_weidei	0000100
*Protofagacea_allonensis	0000100
*Quercus_paleocarpa	0000100
*Quercus_peritula	0000100
*Quercus_predayana	0000100
*Quercus_sp._US188_5894	0000100
*Trigonobalanoidea_americana	0000100
*Castanopsis_rothwellii	0000001
*Castanopsis_changchangensis	0100000
*Lithocarpus_cf._corneus	0100000
*Lithocarpus_changchangensis	0100000
*Quercus_changchangensis	0100000
*Fagus_gussonii	0010000
*Quercus_sosnowskyi	0010000
Quercus_acutissima	1100000
Quercus_afares	0001000
Quercus_castaneifolia	0010000
Quercus_cerris	0011000
Quercus_ithaburensis	0011000
Quercus_libani	0010000
Quercus_suber	0001000
Quercus_trojana	0011000
Quercus_variabilis	1100000
Chrysolepis_chrysophylla_var._minor	0000100
Chrysolepis_sempervirens	0000100
Castanopsis_annamensis	0100000
Castanopsis_argentea	0100000
Castanopsis_borneensis	0100000
Castanopsis_calathiformis	1100000
Castanopsis_cambodiana	0100000
Castanopsis_carlesii	1000000
Castanopsis_ceratacantha	1100000
Castanopsis_chinensis	1000000
Castanopsis_chunii	1000000
Castanopsis_crassifolia	1100000
Castanopsis_cuspidata	1000000
Castanopsis_delavayi	1000000
Castanopsis_dongchoensis	0100000
Castanopsis_echinocarpa	1100000
Castanopsis_eyrei	1000000
Castanopsis_faberi	1100000
Castanopsis_fargesii	1000000
Castanopsis_ferox	1100000
Castanopsis_fissa	1100000
Castanopsis_fordii	1000000
Castanopsis_fulva	0100000
Castanopsis_hystrix	1100000
Castanopsis_indica	1100000
Castanopsis_jucunda	1000000
Castanopsis_kawakamii	1100000
Castanopsis_lamontii	1100000
Castanopsis_longipetiolata	0100000
Castanopsis_mekongensis	1100000
Castanopsis_nephelioides	0100000
Castanopsis_orthacantha	1000000
Castanopsis_philipensis	0100000
Castanopsis_pierrei	0100000
Castanopsis_piriformis	0100000
Castanopsis_sclerophylla	1000000
Castanopsis_tibetana	1000000
Castanopsis_wallichii	0100000
Castanea_crenata	1000000
Castanea_dentata	0000100
Castanea_henryi	1000000
Castanea_mollissima	1000000
Castanea_ozarkensis	0000100
Castanea_pumila	0000100
Castanea_sativa	0011000
Castanea_seguinii	1000000
Quercus_annulata	1100000
Quercus_asymmetrica	1100000
Quercus_augustinii	1100000
Quercus_auricoma	1100000
Quercus_austrocochinchinensis	1100000
Quercus_chapensis	1100000
Quercus_chevalieri	1100000
Quercus_chrysotricha	0100000
Quercus_chungii	1000000
Quercus_ciliaris	1000000
Quercus_daimingshanensis	1000000
Quercus_delavayi	1000000
Quercus_disciformis	1000000
Quercus_edithiae	1100000
Quercus_gaharuensis	0100000
Quercus_gambleana	1100000
Quercus_glauca	1100000
Quercus_helferiana	1100000
Quercus_hondae	1000000
Quercus_hypargyrea	1000000
Quercus_hypophaea	1000000
Quercus_jenseniana	1000000
Quercus_kinabaluensis	0100000
Quercus_kouangsiensis	1000000
Quercus_lineata	1100000
Quercus_litseoides	1000000
Quercus_lobbii	1100000
Quercus_longinux	1000000
Quercus_meihuashanensis	1000000
Quercus_merrillii	0100000
Quercus_mespilifolia	1100000
Quercus_morii	1000000
Quercus_multinervis	1000000
Quercus_myrsinifolia	1100000
